00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 01 01 01 00 00 00 00 00 00 00 00
00 00 00 01 01 01 01 00 00 00 00 00 00 00 00 00
00 00 01 01 01 01 01 00 00 00 00 00 02 02 00 00
00 00 00 01 01 00 00 03 03 00 00 00 02 02 00 00
00 00 00 00 00 00 00 03 03 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 03 00 00 00 00 00 05 00 00 00 00 00 00 00 00
00 00 00 00 00 00 06 04 06 00 00 00 00 00 00 00
00 00 00 00 00 00 00 05 00 00 00 00 03 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 03 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
